,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NET STATE DOMESTIC PRODUCT AT FACTOR COST - STATE-WISE(At Constant Prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 1980-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,DELHI,PUDUCHERRY,,,,,,
,2002-03   ,134749,1775,35708,56975,5826,101603,58410,14617,14907,29298,97765,70885,67795,25072,232994,2921,3759,1705,3741,39377,65085,70333,947,124521,5796,168198,14413,143931,948,5235,59454,3879,
,2003-04   ,147950,1968,37905,53301,6225,118525,64156,15596,15673,31515,99669,75479,75400,29782,250989,3240,3993,1760,3912,45127,69149,92712,1022,132281,6136,177054,15553,152388,1048,5804,62694,4053,
,2004-05   ,158714,2222,39207,60045,6891,125599,69688,17076,16519,36886,109775,82590,77874,31377,272860,3540,4270,1839,4100,51020,72587,90445,1102,147994,6639,185920,17599,162491,1088,6397,69479,3500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,TELANGANA
,2004-05   ,121388,3188,47181,70167,10999,172265,86222,21189,23292,53056,148729,104776,99940,41387,370023,4603,5846,2400,5421,67987,86108,112636,1511,193645,8170,231029,22288,190029,1633,7610,94717,5033,79916
,2005-06   ,128150,3281,48602,68419,11916,197270,94011,23009,24371,50678,164031,115500,104975,42063,423632,4907,6303,2577,5986,71005,90330,120202,1662,221588,8708,244514,25448,201994,1720,8442,104473,6375,92751
,2006-07   ,141610,3458,50797,80260,13085,213954,104700,24819,25794,51527,181086,124625,114545,50065,481983,4992,6778,2693,6454,79845,100072,134350,1760,256286,9458,263935,28514,217849,2029,9690,117444,6614,102977
,2007-08   ,159270,3873,52968,84415,13655,239253,112896,26362,27387,63005,203810,135747,119958,54112,538081,5267,6991,2988,6978,86692,108738,140471,1862,272340,10082,280851,33498,234798,2238,10405,130683,7137,113456
,2008-09   ,163341,4191,56123,97284,14728,249480,121588,27649,29102,60472,218309,144094,135124,57662,546533,5652,7889,3437,7422,93207,114766,152284,2106,286744,11146,302192,37064,244262,2579,11187,146961,7792,128918
,2009-10   ,174401,4539,61294,101938,16119,284732,136780,29149,30512,66465,218363,157123,147933,59263,599338,6039,8396,3832,7842,93957,122097,161159,3659,316760,12287,320989,43407,263230,2911,11767,159044,9197,129267
,2010-11   ,186041,4735,64310,117503,19293,315892,146053,31590,32256,76134,240817,167178,155701,64977,667625,5862,9226,4539,8587,99880,129983,185366,4028,359961,13215,346621,47967,279191,3164,11765,172235,9812,152123
,2011-12   ,191554,4983,66942,129521,23279,336886,158523,33955,33990,80157,248040,176915,169600,69265,695904,6412,10303,4405,9291,103628,136987,202749,4548,386508,14421,365375,52748,289432,3431,11959,180722,10174,160602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,TELANGANA
,2011-12   ,339996,10229,129354,228497,38009,532809,271152,60536,65319,137383,554952,328021,282371,142273,1126595,11501,18028,6404,10554,204226,239227,395331,9742,674478,17419,645132,101960,473205,3404,16930,314650,15160,325139
,2012-13   ,341335,10399,132518,236933,32453,596659,289756,64519,67316,149526,593192,348616,306853,148760,1189711,11515,18323,6836,11163,216301,251813,409802,9970,709343,18857,673552,109528,492901,3558,18305,334193,15507,334205
,2013-14   ,360239,11226,138725,246915,27971,641489,314931,69398,70536,150609,646787,364707,322598,163494,1267551,12519,18397,7831,11923,233122,267515,434292,10590,750416,20623,707469,117778,503952,3811,19813,356528,17239,349593
,2014-15   ,397064,13082,146425,255739,36042,705629,333359,74553,67154,170568,671283,382134,339247,165354,1345341,13615,17893,9960,12406,235931,278485,465408,11437,791915,24407,729686,125702,515702,4151,20353,387639,16055,372897
,2015-16   ,446997,12889,167629,269200,41929,774775,372700,80563,80602,158231,749952,411150,370716,168879,1452513,14635,18330,10948,12600,253192,294895,501922,12484,862437,23745,792049,136144,546988,4483,22058,431730,17025,416892
,2016-17   ,477566,13396,179632,289265,46371,843930,412055,88112,82636,176363,851394,443615,419465,187541,1596121,15201,19295,12029,13488,293348,315783,529650,13416,922084,27204,888453,150303,584911,5091,23842,461592,18284,455731
,2017-18   ,526626,13923,195262,312605,47077,946511,434407,93525,87591,191573,915642,473182,441956,194073,1661065,16870,19964,13779,14178,316192,335057,557618,15204,1000308,29505,922458,162205,623787,5750,25289,487631,20024,498145
,2018-19   ,558862,14897,204627,345545,47425,1034399,470328,99218,93072,208701,974815,510787,482361,209211,1728578,16193,20968,14116,15055,338339,353942,568102,15889,1071602,32703,949184,166519,659288,6108,26654,506332,23468,544441
,2019-20   ,595658,17091,212315,359196,48509,1110179,507776,102613,90791,209913,1030357,521455,508146,220624,1782903,17756,21997,13050,15853,346106,367558,598550,16588,1099402,33695,980106,166351,697554,6430,27817,521994,23672,572736
,2020-21   ,593869,16588,199646,344183,46421,1099259,480471,98132,87102,196467,1026875,472272,490238,215126,1653094,18230,20620,11781,15200,326253,352357,583645,16147,1094471,32615,910011,156792,706648,-,24422,496284,22816,537753
,2021-22   ,661432,-,-,382274,-,-,527733,106004,97335,213681,1127480,506107,539180,-,-,-,22527,-,-,365116,376781,648142,17442,1181923,35395,948839,167487,-,-,-,548058,23666,599614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note     : 1. The data prior to base year : 2011-12 relate to NSDP at factor cost.
              2. Data for Jammu & Kashmir from 2019-20 onwards pertains to U.T. of Jammu & Kashmir only.
Source : National Statistical Office (NSO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
